g1_1,g1_2,g1_3,g1_4,g1_5,g1_6,g1_7,g1_8,g1_9,g1_10,g1_11,g1_12,g1_13,g1_14,g1_15,g1_16,g1_17,g1_18,g1_19,g1_20,g1_21,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18,g2_19,g2_20,g2_21,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,target
1.72,4,7,11,4,6,4,8,4,2,4,6,3.154233935,2.875927472,9.497024,5.473408,1.753728,1.10272,0.007226503,0.007828378,0.576328753,4.5,3,1,4,17,3,7,2,5,-4,-3,-7,2.19193974,2.412327795,3.644032,0.68384,1.771456,0.008188701,0.005461674,0.368566527,3.4,1.75,1,3,4,1,0,0,0,2.844120585,3,4,7,1,2,1,1,5,8,13,0.962294196,0.463599678,-0.017728,0.41888,0,-0.390016,1.829376,0.207762226,1.95,0
2.2,18,18,36,13,15,16,17,21,-1,-4,-5,3.428946743,3.296606312,8.523021003,4.305321403,0.682714302,0.789259011,0.50346051,0.002060102,0.505140302,3.2,20,14,34,15,21,24,16,22,-3,-6,-9,3.238103874,2.96406499,5.252333593,1.419537651,1.44553554,0.562626721,0.000149233,0.610892275,3.2,2.08,0,0,0,0,0,1,0,0,4,-2,2,-7,0,-7,0,5,-1,4,0.190842869,0.332541322,-0.762821239,-0.630278639,0,-0.074785532,-0.94701219,-0.105751973,1.68,1
1.25,40,31,71,2,34,11,20,10,23,10,33,5,4.895185593,14.95941007,8.666807782,1.790277906,1.345887172,0.009279014,0.818730753,0.579354917,13,21,13,34,16,22,25,12,23,-3,-11,-14,2.725399043,2.60473078,5.621594896,1.205990536,1.283208895,0.832374997,0.000889368,0.490332668,5.5,1.75,7,0,7,0,1,1,0,2.935620742,27,10,37,11,-1,-5,-12,34,13,47,2.274600957,2.290454813,0.507069011,0.139896636,1,3.494551084,3.045212886,0.089022249,1.99,1
1.16,30,20,50,3,37,10,19,7,27,12,39,5,4.871254061,13.45368658,5.152103309,2.222924094,1.289871005,0.014993494,0.217621057,0.382951043,13,14,15,29,9,12,15,11,10,-3,1,-2,3.443813609,3.244224153,3.727299542,1.1734777,1.318711507,0.182658153,0.012216106,0.327931387,7.5,1.44,4,0,4,0,1,0,0,0.895452338,15,6,21,27,-1,4,-5,26,15,41,1.556186391,1.627029908,0.904212587,0.116393305,0,2.087590827,1.424803767,0.055019656,2.75,1
1.62,14,7,21,8,12,9,9,12,3,-3,0,3.139858828,2.889700898,11.61667432,6.334360728,1.600351318,1.164390512,0.101083785,0.053664692,0.545281769,5.5,8,14,22,14,11,11,13,18,0,-5,-5,2.969151788,2.706426291,6.715097165,1.395665913,1.275089662,0.106858473,0.047358924,0.522504331,4,1.61,-1,0,-1,0,0,0,0,1.194883781,0,-1,-1,-6,-4,-2,1,8,-3,5,0.17070704,0.183274607,0.325261656,-0.2312754,0,-1.235079756,-0.380736437,0.022777438,2.24,2
1.53,21,18,39,16,18,19,22,35,-1,-13,-14,2.957507033,3.108512813,9.018278373,4.716223033,0.965519238,1.900563902,0.945959469,1.34E-06,0.522962681,6,7,8,15,20,12,37,13,30,-25,-17,-42,1.97270898,1.988739877,4.24222898,0.814725815,1.833947984,0.095634445,2.80E-14,0.530594641,3.8,1.95,2,-3,-1,0,0,0,0,2.455947858,13,11,24,-12,6,-15,23,16,12,28,0.984798053,1.119772936,-0.868428746,1.085838087,0,1.02304312,0.473994053,-0.007631961,1.78,1
1.91,4,4,8,16,5,9,4,8,-4,-4,-8,2.234432134,2.454604209,12.54659656,6.614250086,0.825115955,1.872949146,0.026030868,0.00615802,0.527174844,4.33,4,1,5,20,5,8,1,9,-3,-8,-11,1.929428904,2.232487853,6.37449513,0.386185626,1.693377946,0.02576112,0.00185476,0.556584913,3.3,1.96,-1,1,0,0,0,0,0,1.091317886,3,0,3,-4,8,-4,3,4,-1,3,0.30500323,0.222116357,-0.86826199,1.48676352,0,1.093725696,0.239754957,-0.029410069,1.82,1
2.5,15,8,23,19,15,14,17,37,1,-20,-19,2.361566368,2.216403593,11.88657483,3.667355937,1.187653489,1.543283539,0.604428303,0.002618902,0.308529243,3.1,14,18,32,13,15,19,14,16,-4,-2,-6,3.049213154,3.281544718,3.319677091,1.033735195,2.023882073,0.485671785,0.034047455,0.266596709,3.3,2.18,-2,-2,-4,0,0,0,0,3.749614452,-3,-6,-9,-1,0,-2,22,3,-16,-13,-0.687646786,-1.065141125,-0.836228584,0.509548344,0,-0.565480968,0.347678846,0.041932535,1.68,0
1.22,28,17,45,1,27,6,18,10,21,8,29,5,4.781695771,19.73046505,9.899465255,1.756051105,0.888099145,0.031904762,0.235746077,0.501735019,15,18,5,23,10,18,13,10,18,5,-8,-3,2.977215094,3.088576124,5.972851917,1.295104182,1.744275343,0.223006233,0.031904762,0.540922367,6,1.6,8,-9,-1,0,1,0,0,3.635474924,23,-1,22,9,-4,5,-8,29,3,32,2.022784906,1.693119648,0.011775762,-0.407005037,0,8.688488819,3.926613339,-0.039187348,2.23,1
6,19,8,27,17,20,19,6,24,1,-18,-17,2.520922053,2.610151046,9.746113277,4.817422526,0.813959913,1.654399675,0.726149037,1.85E-05,0.494291662,1.5,30,33,63,2,27,8,31,21,19,10,29,5,4.920899639,7.633723135,2.25302272,1.092683504,0.016551972,0.235746077,0.469632026,4,1.89,-8,3,-5,0,0,0,1,1.008543739,-14,-22,-36,-1,-12,-2,-3,-9,-37,-46,-2.479077947,-2.310748593,-0.278723591,-0.598623046,0,-6.508577031,-2.816300609,0.024659636,1.85,2
2.5,10,8,18,18,7,13,8,19,-6,-11,-17,2.204153136,2.306738966,7.45381689,3.14848948,0.97525819,1.794323159,0.323527157,0.00644146,0.422399628,2.5,19,13,32,10,17,13,12,12,4,0,4,3.782770112,3.495757522,6.031784641,1.238540226,1.016827075,0.229415107,0.076535545,0.478918661,3.2,1.9,1,2,3,0,0,1,0,1.61809267,-3,-11,-14,-5,1,-5,2,-6,-15,-21,-1.578616976,-1.189018557,-0.041568886,0.555782933,0,-5.140774066,-2.883295161,-0.056519033,1.7,0
3.5,33,11,44,11,26,17,12,37,9,-25,-16,3.13973738,3.040313708,11.93141281,7.390338492,1.035195119,1.122238064,0.751074824,0.001526161,0.619401793,2.1,44,28,72,3,44,15,34,24,29,10,39,4.405177985,4.200503703,8.031875447,1.255423958,1.044659382,0.003846639,0.831104284,0.573959192,3.4,1.8,-1,7,6,0,0,0,1,3.22360538,5,-33,-28,2,-17,-3,-7,-1,-54,-55,-1.265440605,-1.160189995,-0.009464263,-0.133185894,0,-2.062396437,-0.641536955,0.045442601,1.96,1
1.444,30,28,58,3,30,13,22,16,17,6,23,2.841957207,2.862550063,14.8754048,7.152732672,1.250642432,1.8244608,0.019052527,0.324652467,0.480842893,7.5,26,11,37,13,29,23,11,20,6,-9,-3,3.680189466,3.283351137,6.146121822,1.905421052,1.568282911,0.534073279,0.001023016,0.58095079,4,1.65,9,-5,4,0,1,0,0,2.900287769,19,2,21,10,2,-1,-13,26,0,26,-0.83823226,-0.420801074,-0.317640479,-0.080960252,0,4.295985806,1.00661085,-0.100107897,2.05,1
1.95,6,4,10,17,7,8,3,14,-1,-11,-12,2.167364111,2.283050564,9.442858803,6.403183785,0.608159269,1.699232707,0.056134763,0.009232735,0.678098012,4,7,2,9,19,9,10,7,13,-1,-6,-7,2.284279769,2.300955514,5.809991515,1.075101414,1.463683171,0.055360503,0.006188887,0.51691518,3.4,1.86,3,-1,2,0,0,0,0,1.412427843,4,-3,1,-6,1,-7,5,5,-10,-5,-0.116915658,-0.01790495,-0.855523902,0.624131293,0,-1.796879818,0.59319227,0.161182832,1.93,1
3.3,21,30,51,3,18,12,22,12,6,10,16,3.315516232,2.884138897,7.69504,4.16896,0.81472,0.1024,0.065874754,0.429557358,0.541772362,2.25,23,26,49,4,21,7,23,8,14,15,29,4.773690786,4.836236712,9.041660022,0.983521422,0.886991861,0.065874754,0.429557358,0.554988208,3.3,2.18,0,9,9,1,0,0,1,1.980927679,-5,7,2,10,-11,15,-9,-9,-4,-13,-1.458174554,-1.952097815,-0.072271861,-0.881121422,-1,-8.596585456,-4.872700022,-0.013215846,1.62,2
1.57,19,17,36,6,17,12,18,14,5,4,9,3.978082877,3.630599271,12.69807518,7.544863341,1.579905397,1.217511168,0.127294752,0.045730034,0.594173781,6.5,15,14,29,10,19,17,12,9,2,3,5,3.503238663,3.381954999,8.275400685,1.409000821,1.203411695,0.19647458,0.030653758,0.596291294,4.2,1.71,2,-2,0,0,0,0,0,2.041198757,5,2,7,8,0,1,-5,2,2,4,0.474844214,0.248644272,0.376493702,-0.191489653,0,-1.180042402,-0.730537343,-0.002117513,2.12,0
3,11,2,13,19,15,19,8,21,-4,-13,-17,1.939403784,2.002140661,6.857990426,3.588893706,0.830041206,1.774374247,0.254919988,0.000426457,0.523315648,2.5,22,11,33,7,17,9,12,18,8,-6,2,3.695043458,3.640485709,7.576844465,1.048756527,1.465657352,0.127294752,0.07730474,0.584496259,3.4,1.82,1,1,2,0,0,0,0,1.464250056,0,-20,-20,-3,7,-1,4,2,-21,-19,-1.755639674,-1.638345048,-0.635616146,0.72561772,0,-6.105042858,-3.987950759,-0.061180611,1.97,1
1.667,7,1,8,7,6,2,1,3,4,-2,2,2.840510567,2.671758593,6.009216,3.38464,0.94624,0.69184,0.007936761,0.006839778,0.563241528,4.5,6,2,8,16,5,2,3,5,3,-2,1,2.82971425,2.5352141,3.209536,1.2784,0.763392,0.008188701,0.005461674,0.478210703,3.4,1.9,1,1,2,0,0,0,0,2.20117536,5,-5,0,1,-1,-1,-2,6,-5,1,0.010796317,0.136544492,0.182848,-0.58656,0,-0.702336,0.175104,0.085030825,1.7,1
5,11,13,24,20,19,43,19,36,-24,-17,-41,1.272641337,1.396847993,10.73929324,6.3925482,1.209974745,2.562993959,0.65367899,1.52E-08,0.595248501,1.7,30,22,52,7,25,14,22,25,11,-3,8,4.794096947,4.273639416,6.755867321,2.306063932,1.102295362,0.364775851,0.005946217,0.530130543,3.75,1.66,0,1,1,0,0,0,0,1.191311141,-11,-17,-28,-6,21,5,11,-21,-28,-49,-3.521455609,-2.876791423,0.107679383,0.256930027,0,-2.004487347,-0.363319121,0.065117958,2.14,0
1.75,15,13,28,4,18,3,9,6,15,3,18,4.585048476,3.734531206,14.86942056,5.596668801,2.309323952,0.34693605,0.022246834,0.043066924,0.376387821,5.25,14,10,24,5,9,4,9,4,5,5,10,3.672347786,3.379841256,5.035246658,1.447508619,0.866372215,0.031047958,0.036699212,0.329956126,3.8,1.8,9,1,10,0,0,1,1,0.174634455,5,-1,4,14,-6,5,-3,10,-2,8,0.91270069,0.35468995,1.442951737,-1.10057257,0,-0.39093155,0.561422143,0.046431695,2.01,1
2.25,12,17,29,8,17,14,7,5,3,2,5,3.638245165,3.230852008,13.29872249,8.708752677,1.762110038,0.823004949,0.131098602,0.025991129,0.654856335,3.1,22,18,40,3,13,10,10,7,3,3,6,4.225522118,3.972293871,3.980431286,0.98604199,0.92610324,0.026913187,0.196911675,0.502852885,3.2,2.05,7,-2,5,0,0,0,0,3.432563319,-6,-5,-11,10,4,-3,-8,0,-1,-1,-0.587276953,-0.741441863,0.836006798,-0.163037041,0,5.383025071,4.72832139,0.15200345,1.65,1
2.7,0,1,1,18,0,2,0,2,-2,-2,-4,2.282527675,2.402653354,4.768,0.976,0,0.576,0.003088715,0.002060102,0.204697987,3,4,3,7,6,2,1,1,0,1,1,2,2.8465,2.6491,1.328,0.488,0.2,0.002831905,0.002952804,0.249249249,3.1,2.6,1,1,2,0,0,0,0,2.500088655,-3,-3,-6,0,1,-1,0,-3,-3,-6,-0.563972325,-0.246446646,-0.2,0.088,0,-0.56,-0.352,-0.044551263,1.49,1
1.44,32,18,50,3,26,5,20,13,21,7,28,4.889202082,4.742386,14.01973942,4.591738167,1.52789973,0.829318215,0.026248698,0.324652467,0.327519509,7.5,20,12,32,12,16,15,14,21,1,-7,-6,3.22728574,2.978093901,3.867950652,1.15180898,1.03839865,0.389760737,0.005407329,0.369525263,5,1.65,3,-4,-1,1,1,0,0,2.523718712,20,-2,18,5,-9,5,-3,28,6,34,1.661916342,1.764292099,0.48950108,-0.322490765,0,3.552388357,0.723787515,-0.042005754,2.23,1
8,8,3,11,20,7,7,4,17,0,-13,-13,2.012359502,2.158277885,8.190243194,4.738667164,0.391875556,1.309921753,0.138742041,0.000252273,0.578574659,1.4,17,13,30,3,18,6,11,9,12,2,14,4.172848874,3.8648831,5.86311336,1.566006126,1.032188647,0.091464391,0.053397038,0.496502052,4.2,1.88,-3,3,0,0,0,0,1,0.307846768,-5,-14,-19,-2,-4,-2,-1,-2,-25,-27,-2.160489372,-1.706605215,-0.64031309,-0.256084373,0,-3.618596951,-1.124446196,0.082072607,1.83,2
3.1,31,20,51,7,30,23,20,22,7,-2,5,4.507501086,4.192139788,12.84886739,6.91111073,1.270426463,0.963103412,0.60653066,0.034047455,0.537877038,2.38,45,26,71,2,39,13,30,19,26,11,37,4.886039817,4.935754083,9.618398749,1.974474592,1.16089636,0.03555034,0.782704538,0.558240532,3.25,1.78,-2,9,7,0,0,0,1,3.396010297,5,-25,-20,11,-7,7,-17,-4,-28,-32,-0.378538732,-0.743614295,0.109530103,-1.01137118,0,-4.380979244,-2.707288019,-0.020363494,2,1
2.25,1,0,1,16,1,1,1,3,0,-2,-2,2.359434941,2.460686988,3.456,1.48,0.288,0.648,0.003088715,0.002725782,0.428240741,3.1,6,0,6,9,5,1,1,4,4,-3,1,2.7906875,2.5371775,3.88,1.048,0.672,0.003046113,0.002579912,0.714285714,3.2,1.85,1,-1,0,0,0,0,0,2.998191698,1,-6,-5,-3,0,0,-2,3,-6,-3,-0.431252559,-0.076490512,-0.384,-0.4,0,-1.976,-2.4,-0.286044974,1.85,1
2.6,9,4,13,13,10,8,5,11,2,-6,-4,2.709043549,2.789031836,9.964837376,4.953917604,0.831331881,1.503513825,0.032999925,0.012778388,0.497139834,2.8,5,10,15,11,6,11,9,8,-5,1,-4,2.777457407,2.549238553,5.079177626,1.081563484,1.110787031,0.032999925,0.012778388,0.53532935,3.25,1.94,-6,4,-2,0,0,1,0,3.559701007,-1,-1,-2,2,-1,-6,5,1,-1,0,-0.068413858,0.239793283,-0.27945515,0.421950341,0,0.476888269,-0.125260022,-0.038189515,1.8,2
3.3,15,4,19,12,11,7,6,23,4,-17,-13,2.452721274,2.467346035,9.809605458,5.185466367,0.686220671,1.227122569,0.131171454,0.026782676,0.528611104,2.2,18,12,30,7,24,8,14,14,16,0,16,4.270798137,3.857978314,9.935962446,2.154691823,1.01201984,0.088909268,0.058134267,0.559818311,3.4,1.81,-3,4,1,0,0,0,0,3.223252124,3,-14,-11,-3,-7,-2,-1,4,-33,-29,-1.818076864,-1.390632279,-0.325799169,-0.927569253,0,-7.938943051,-4.75049608,-0.031207207,1.93,2
1.44,14,16,30,7,18,10,14,8,8,6,14,4.049193716,3.592009755,14.3479093,9.173558256,1.929420024,0.99044929,0.099758801,0.053397038,0.639365504,7,16,4,20,15,12,12,8,14,0,-6,-6,2.64345514,2.582815015,7.695839803,1.110384326,1.379004511,0.16220588,0.007226503,0.504806085,4.5,1.62,12,-5,7,0,1,1,0,3.740259591,10,0,10,4,2,2,-4,14,6,20,1.405738576,1.009194741,0.550415512,-0.119935037,1,-0.897231426,1.477718454,0.134559419,2.27,1
2,26,13,39,11,23,20,14,30,3,-16,-13,3.112779134,3.129677534,10.25495976,3.246388765,0.912015264,1.486901236,0.843664817,0.001466319,0.316567675,3.6,22,16,38,14,18,27,26,32,-9,-6,-15,2.92448156,2.897145665,3.852356899,1.08178843,1.481614198,0.90433487,0.000699601,0.315102744,3.5,1.87,0,0,0,0,0,1,0,2.650904359,10,-9,1,-9,-6,-13,12,9,-7,2,0.188297574,0.23253187,-0.569598934,0.405112805,0,-1.970756986,-0.605968134,0.00146493,1.94,0
4.5,17,13,30,19,17,18,22,39,-1,-17,-18,2.699332173,2.445935415,13.38082627,3.665951355,1.226728236,1.03995452,0.873230649,3.70E-05,0.273970477,1.8,31,29,60,4,24,11,32,23,13,9,22,4.891740774,4.900016323,5.961795814,2.006345401,1.287438145,0.060675079,0.396531419,0.389517338,4,1.73,-7,8,1,0,0,0,1,3.594845806,-12,-18,-30,-6,-14,11,15,-10,-30,-40,-2.192408601,-2.454080908,-0.060709908,-0.966390881,0,-1.924771808,-2.29584446,-0.115546861,2.09,0
1.9,21,27,48,8,20,22,19,21,-2,-2,-4,2.808847096,2.769031772,11.27218654,4.977152334,0.97402887,1.444505477,0.272948479,0.001017914,0.441542758,3.6,21,18,39,16,18,18,19,29,0,-10,-10,3.198572105,3.174749154,5.47699811,0.995154761,1.477663871,0.90433487,5.84E-06,0.57625619,3.25,2.03,-3,-3,-6,0,0,0,0,1.292412737,3,6,9,-9,3,1,3,8,-2,6,-0.389725009,-0.405717383,-0.503635001,0.449350716,0,1.76773659,-0.499845776,-0.134713431,1.72,1
1.75,20,13,33,8,16,10,16,15,6,1,7,3.709423908,3.670857789,11.44503516,3.894106206,1.176553885,1.138200915,0.154616789,0.065546203,0.340244145,5.25,9,10,19,17,10,12,10,15,-2,-5,-7,2.530299082,2.453078992,3.111706725,0.778699978,0.958832125,0.2780373,0.003088715,0.259711282,3.75,2.11,5,3,8,0,0,1,0,2.251303014,10,4,14,1,0,4,5,11,3,14,1.179124826,1.217778797,0.21772176,0.359500937,0,-0.536372429,0.782399481,0.080532863,1.72,1
1.95,19,13,32,20,23,27,17,36,-4,-19,-23,2.502095238,2.636584866,11.23396254,6.367945852,1.037551559,2.140159267,0.950041131,0.000219315,0.566847702,3.8,27,11,38,16,21,15,20,40,6,-20,-14,3.076474611,2.96262882,5.342146192,0.782020482,1.226857447,0.976801108,0.000717312,0.445649952,3.6,1.78,5,-1,4,0,0,0,0,3.349510337,8,-14,-6,-17,7,2,15,16,-25,-9,-0.574379372,-0.326043955,-0.189305888,1.358138785,0,-0.7533521,1.02579966,0.12119775,2.01,0
3.3,29,28,57,8,24,13,24,26,11,-2,9,4.592076271,4.714769104,13.34008417,6.928271885,0.694613523,1.278192404,0.135335283,0.02612141,0.519357434,2.1,20,13,33,19,22,31,15,29,-9,-14,-23,2.38149266,2.045450242,6.8780475,1.431536345,1.320553323,0.969233234,2.25E-06,0.573663762,3.6,1.94,0,2,2,0,0,0,0,1.081596407,16,8,24,-5,-2,-7,4,25,7,32,2.210583612,2.669318861,-0.625939799,-0.153343941,0,1.350399689,0.050224384,-0.054306328,1.8,2
1.72,16,12,28,10,13,8,14,15,5,-1,4,3.476506175,3.266574809,9.692709764,5.338785744,1.247798228,1.074684466,0.245060539,0.014264234,0.550804251,5,11,7,18,18,10,12,13,22,-2,-9,-11,2.44513504,2.363547997,5.612534763,1.11181512,1.489963576,0.323527157,0.000345679,0.569006121,3.4,1.9,5,-4,1,0,0,0,0,2.969494736,9,1,10,-9,-5,2,5,14,1,15,1.031371136,0.903026813,-0.242165348,-0.037130654,0,-0.171041347,-0.273749019,-0.01820187,1.79,1
1.9,0,1,1,5,0,1,1,1,-1,0,-1,2.431308411,2.486261682,4.36,2.36,0.16,0.36,0.002179909,0.002144176,0.541284404,4.33,1,0,1,12,1,1,1,2,0,-1,-1,2.43,2.486,1.6,0.36,0.56,0.002187491,0.001930454,0.481927711,3.1,1.95,1,5,6,0,0,0,0,1.060621275,0,0,0,-2,0,0,0,0,0,0,0.001308411,0.000261682,-0.4,0,0,1.04,0.76,0.059356693,1.75,1
2.05,14,20,34,16,16,22,18,20,-6,-2,-8,2.983652888,3.090467767,12.54356206,4.023739737,1.156217936,1.849782097,0.823749427,0.003606563,0.320781268,3.6,17,11,28,17,19,22,13,32,-3,-19,-22,2.52313955,2.363464867,1.883576144,0.678305915,1.181200606,0.835270211,0.000186888,0.220435129,3.4,2.14,1,0,1,0,0,0,0,1.855126124,3,3,6,-16,9,-4,1,13,1,14,0.460513338,0.727002901,-0.02498267,1.171476182,0,3.998752754,2.140163593,0.100346138,1.7,1
5.75,10,6,16,20,14,35,13,37,-21,-24,-45,0.742653166,1.100058,9.760677254,2.869141726,0.95280148,2.613387644,0.364775851,1.52E-08,0.293949042,1.65,25,8,33,19,27,23,12,41,4,-29,-25,2.660500879,2.289243533,4.130296831,1.36044851,1.349729591,0.991563566,2.53E-05,0.436551172,4.2,1.86,1,5,6,0,0,0,0,2.480377518,2,-19,-17,-27,23,-10,10,8,-28,-20,-1.917847713,-1.189185533,-0.396928111,1.252939134,0,0.299479816,-1.261155106,-0.14260213,1.94,0
2.3,21,10,31,15,20,20,13,29,0,-16,-16,2.555184341,2.772816313,9.022389622,4.057009184,0.832275962,2.099395301,0.790131766,5.11E-06,0.449660163,3,27,17,44,7,26,21,11,23,5,-12,-7,3.64249742,3.539514266,3.746305421,1.364636102,1.565829846,0.34338985,0.002579912,0.497339454,3.25,2,-2,1,-1,0,0,0,0,1.298734645,4,-17,-13,-3,9,-8,3,12,-21,-9,-1.08731308,-0.766697953,-0.733553884,0.734759199,0,1.489696635,0.310703763,-0.047679292,1.71,1
4.33,10,6,16,18,12,17,6,20,-5,-14,-19,1.902553672,2.018142545,8.515964458,4.252459723,0.703640739,1.825092678,0.2780373,0.000296045,0.499351511,1.66,25,9,34,6,20,8,14,13,12,1,13,4.220751244,3.85494093,7.405822267,1.560114883,0.771694721,0.079382906,0.090265496,0.496114315,3.4,1.95,-5,3,-2,0,0,0,1,4.345394015,1,-19,-18,-1,3,-2,0,-6,-26,-32,-2.318197572,-1.836798385,-0.068053982,0.264977795,0,-6.411688397,-3.153362544,0.003237197,1.75,2
